iso3,country,region,income_group,growth24,lngdppc23,gcf23,highinc,infl23,unemp23,trade23,popgrow23,gdppc23,gdppc24
CAN,Canada,North America,High income,-0.9542120303306034,10.725368920713002,23.6376218677924,1,3.87900159788426,5.415,66.5745425015033,2.78237404482922,45495.5100892605,45061.3864587285
CHE,Switzerland,Europe & Central Asia,High income,0.0757783600806583,11.439794856747044,28.5542320055981,1,2.13540088016387,4.043,129.7371945484,1.26498425447772,92947.9424441568,93018.3768706697
CHL,Chile,Latin America & Caribbean ,High income,2.2541073955747004,9.567644864156994,23.3331278198537,1,7.58168251407962,9.013,60.6766444736157,0.53962870957127,14294.7106635595,14616.9287938028
CHN,China,East Asia & Pacific,Upper middle income,5.087548563034616,9.432201430057397,41.1297102455381,0,0.234836828893051,4.67,36.7391496938394,-0.103794531589067,12483.9791101249,13119.1076099516
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,3.467913057211369,7.747322339494329,24.5444478808032,0,4.36972254867474,2.263,48.8170039103332,2.50384681190665,2315.36434710324,2395.65916961845
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,0.8549781485973629,7.2917777072928365,19.2850918964923,0,7.38281384280984,3.607,37.8903321242578,2.64245336134821,1468.17837007337,1480.73097431993
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,2.7172556486134924,6.290567019787564,34.0781273164972,0,,4.469,86.7400581798289,3.25963514299902,539.45912637913,554.117609962628
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,-0.31953590092537176,7.424812739688538,25.2109559920067,0,4.30174563591016,19.919,96.2103944039618,2.41919038084212,1677.08549205924,1671.7266018229
COL,Colombia,Latin America & Caribbean ,Upper middle income,0.40862060382220733,8.830159007195745,16.380607358871,0,11.7359044948689,9.591,40.1333165322581,1.12092864340999,6837.37392084534,6865.31283944628
COM,Comoros,Sub-Saharan Africa ,Lower middle income,1.36481294621158,7.232474444913376,13.2901153960903,0,8.37373955490996,3.833,44.4398634497089,1.92327433672711,1383.64201759575,1402.52614298112
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,6.469916088880812,8.335354114388423,21.7251071461541,0,3.72437517668748,11.882,95.0324943346692,0.497087597239901,4168.67748407593,4438.38741931171
CRI,Costa Rica,Latin America & Caribbean ,High income,3.5881668120539167,9.584074021276846,15.8466847822892,1,0.525193508693455,8.325,71.4380310340536,0.46646444898736,14531.5005137466,15052.9149924743
CUB,Cuba,Latin America & Caribbean ,Upper middle income,-0.6999611421595109,8.913742519010999,21.4185705757855,0,,1.73,120.533878427187,-0.361317873522215,7433.42885399674,7381.39774048869
CYP,Cyprus,Europe & Central Asia,High income,2.2969241014209274,10.374179055494048,21.4727017396107,1,3.54134188751646,5.835,190.740957956519,1.0167681770201,32022.01953125,32757.541015625
CZE,Czechia,Europe & Central Asia,High income,0.8707629958601526,9.917024878154018,28.2189210871769,1,10.6612601372427,2.579,131.892598295876,1.78238907045946,20272.5874017334,20449.1135911311
DEU,Germany,Europe & Central Asia,High income,-0.7690705526589681,10.700296126230926,21.994283425489,1,5.94643667725823,3.071,81.9625483787634,0.131511079477747,44368.9920074881,44027.7631554469
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5.53622497099775,8.044887887557579,-3.7352612180732,0,1.44905087029086,26.074,285.902043800644,1.38410272350128,3117.8155381531,3290.42482052598
DNK,Denmark,Europe & Central Asia,High income,2.95776259160625,10.985749980450018,23.6446197797629,1,3.30517811237606,5.094,129.625337431278,0.741185515720057,59026.9843650999,60772.8624276041
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,4.069152398402087,9.083638559314252,27.8145628515185,0,4.78561281021135,5.555,49.8436131764417,0.891159203732232,8809.96335385949,9168.45418897141
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2.259965270821196,8.44685773124866,37.6168765143841,0,9.32217375928322,11.645,43.7397984507007,1.49897601193923,4660.40545687895,4765.72900168387
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,-2.7842885423929986,8.726709881444197,20.7283478756321,0,2.21568764237058,3.51,57.1626938264309,0.872456027022398,6165.40977555695,5993.74697758454
